movie_id,title,url,rating_overall,rating_num,rating_5,rating_4,rating_3,rating_2,rating_1
30214071,又是一年三月三,https://movie.douban.com/subject/30214071/,null,NA,NA,NA,NA,NA,NA
30316976,片警宝音,https://movie.douban.com/subject/30316976/,6.9,920,11.30%,29.60%,53.00%,6.10%,0.00%
26425062,武林怪兽,https://movie.douban.com/subject/26425062/,3.5,28502,1.70%,2.00%,14.80%,31.40%,50.00%
26994789,天气预爆,https://movie.douban.com/subject/26994789/,3.8,74083,2.20%,3.90%,17.60%,33.50%,42.90%
26796664,叶问外传：张天志,https://movie.douban.com/subject/26796664/,5.5,53355,2.50%,11.80%,50.60%,29.80%,5.20%
26374197,蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,8.6,591380,44.80%,41.70%,12.30%,0.90%,0.20%
30379943,夜魔奇案,https://movie.douban.com/subject/30379943/,null,NA,NA,NA,NA,NA,NA
26662337,大路朝天,https://movie.douban.com/subject/26662337/,null,NA,NA,NA,NA,NA,NA
30296766,午夜整容室,https://movie.douban.com/subject/30296766/,3,1088,3.40%,1.70%,5.10%,20.30%,69.50%
1355389,信·守,https://movie.douban.com/celebrity/1355389/,null,NA,NA,NA,NA,NA,NA
30412312,寻娃总动员,https://movie.douban.com/subject/30412312/,null,NA,NA,NA,NA,NA,NA
30391453,苗寨情缘,https://movie.douban.com/subject/30391453/,null,NA,NA,NA,NA,NA,NA
30377703,来电狂响,https://movie.douban.com/subject/30377703/,5.7,281594,3.60%,16.90%,47.90%,25.90%,5.80%
26895438,神探狗笨吉,https://movie.douban.com/subject/26895438/,6.7,5338,10.70%,23.40%,55.60%,9.40%,1.00%
27019982,印度暴徒,https://movie.douban.com/subject/27019982/,5.9,29047,4.50%,15.50%,53.60%,21.00%,5.30%
30408622,拳职妈妈,https://movie.douban.com/subject/30408622/,null,NA,NA,NA,NA,NA,NA
30405009,热土,https://movie.douban.com/subject/30405009/,null,NA,NA,NA,NA,NA,NA
35042912,云南虫谷,https://movie.douban.com/subject/35042912/,6.1,157685,4.10%,19.90%,57.30%,16.70%,2.10%
